Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_AR_ES_Command_VodafoneBusinessApplication}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_AR_ES_SP}
~.*(aplicación|instalada|¿donde).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_IDontKnow
~.*((?=.*Local)|(?=.*Citrix)|(?=.*Web)).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_WEB
~.*((?=.*proxy)|(?=.*2-Internet Explorer)|(?=.*error)|(?=.*4-Necesito acceso)|(?=.*desbloquear cuenta)|(?=.*6-Otras.)|(?=.*problema)).*,Amelia_Button_AR_ES_OptionFive
~.*(nombre|aplicación|afectada).*,bebe ahly
~.*(base de datos|aplicación|No pude encontrar).*,
~.*(nombre|aplicación|afectada).*,Cramer
~.*(base de datos|aplicación|No pude encontrar).*,
~.*(nombre|aplicación|afectada).*,Cramer
~.*(base de datos|aplicación|No pude encontrar).*,
~.*(la espera|contacto|agente|ayudarte|minutos).*,
