Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_F_ES_Command_UnlockAccountWrapper}
~.*((?=.*1-Cuenta de inicio a Windows)(?=.*2-Aplicaciones de negocio de Vodafone)(?=.*3-Otras)(?=.*aplicaciones)(?=.*desbloqueo de cuenta)).*,Amelia_Button_Wrappers_ES_1
~.*(ayudarte|problema|cuenta|bloqueada).*,
~.*((?=.*verificado)(?=.*la he desbloqueado)(?=.*espera 2-3 minutos)(?=.*iniciar)(?=.*¿Ha funcionado?)).*,Amelia_Button_F_ES_NO
~.*((?=.*He desbloqueado)(?=.*segunda vez)(?=.*espera 2-3 minutos)(?=.*iniciar)(?=.*¿Ha funcionado?)).*,Amelia_Button_F_ES_YES
~.*(bloquea|constantemente|problema|recurrente).*,Amelia_Button_F_ES_YES
~.*(credenciales|borrar|administrador de credenciales|pasos).*,
Amelia_PDF_F_ES_deleteCredentials,
~.*(finalizar|instrucciones|PDF|conseguido).*,Amelia_Button_F_ES_Continue
~.*(contraseñas|cache|navegador).*,
Amelia_PDF_F_ES_deleteBrowser,
~.*(finalizar|instrucciones|PDF|conseguido).*,Amelia_Button_F_ES_Continue
~.*(elimina|archivos|temporales).*,
Amelia_PDF_F_ES_deleteTemp,
~.*(finalizar|instrucciones|PDF|conseguido).*,Amelia_Button_F_ES_Continue
~.*(actualizar|directiva de grupo|CMD|GPUPDATE /FORCE).*,
Amelia_PDF_F_ES_CMD,
~.*(problema|persiste).*,Amelia_Button_F_ES_YES
~.*(la espera|contacto|agente|ayudarte|minutos).*,
