Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_E_ES_Command_CheckStatusTicket}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_E_ES_SP_2}
~.*((?=.*ayudarte)(?=.*verificación)(?=.*alegra)).*,
~.*(¿Sabes|número|ticket).*,Amelia_Button_E_ES_YES
~.*(¿Cuál|número|ticket).*,{#Data.Ameila_Epic_E_ES_ClosedTicket_REQ}
~.*((?=.*estado)(?=.*ticket)(?=.*Cerrado)).*,
~.*(problema|resuelto).*,Amelia_Button_E_ES_YES
{#Data.Amelia_SpanishClosingMessage},
{#Data.Amelia_SpanishClosingMessage_second},
