Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_AR_ES_Command_VodafoneBusinessApplication}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_AR_ES_SP}
~.*(aplicación|instalada|¿donde).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_WEB
~.*((?=.*proxy)|(?=.*2-Internet Explorer)|(?=.*error)|(?=.*4-Necesito acceso)|(?=.*desbloquear cuenta)|(?=.*6-Otras.)|(?=.*problema)).*,Amelia_Button_AR_ES_OptionFive
~.*(nombre|aplicación|afectada).*,AMDOCS
~.*(elige|aplicación|afectada).*,otra aplicación
~.*(introducir|aplicación|nombre|volver).*,Amelia_Button_AR_ES_YES
~.*(nombre|aplicación|afectada).*,AMDOCS
~.*(elige|aplicación|afectada).*,otra aplicación
~.*(introducir|aplicación|nombre|volver).*,Amelia_Button_AR_ES_YES
~.*(nombre|aplicación|afectada).*,AMDOCS
~.*(elige|aplicación|afectada).*,otra aplicación
~.*(la espera|contacto|agente|ayudarte|minutos).*,
