Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_AR_ES_Command_VodafoneBusinessApplication}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_AR_ES_SP}
~.*(aplicación|instalada|¿donde).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_Local
~.*((?=.*1-Necesito acceso)|(?=.*error)|(?=.*restablecer contraseña)|(?=.*4-Mi aplicación no arranca.)|(?=.*5-Otras.)|(?=.*problema)).*,Amelia_Button_AR_ES_OptionThree
~.*(nombre|aplicación|afectada).*,Cramer
~.*(base de datos|aplicación|No pude encontrar).*,
~.*(nombre|aplicación|afectada).*,Red Channel
"Por favor, pónte en contacto con el siguiente equipo de soporte que es responsable de tu problema: cimad@vodafone.com o por teléfono: (0671) 32222 y elija la Opción 1.",
incident_id,
{#Data.Amelia_SpanishClosingMessage},
{#Data.Amelia_SpanishClosingMessage_second},
