Amelia,User
{#Data.Amelia_SpanishWelcomeMessage},
{#Data.Amelia_SpanishWelcomeMessage_second},{#Data.Amelia_Epic_AR_ES_Command_VodafoneBusinessApplication}
~.*(correo electrónico|dirección).*,{#Data.Amelia_Epic_AR_ES_SP}
~.*(aplicación|instalada|¿donde).*,
~.*(elija|siguientes|opciones).*,Amelia_Button_AR_ES_Local
~.*((?=.*1-Necesito acceso)|(?=.*error)|(?=.*restablecer contraseña)|(?=.*4-Mi aplicación no arranca.)|(?=.*5-Otras.)|(?=.*problema)).*,Amelia_Button_AR_ES_OptionTwo
~.*(nombre|aplicación|afectada).*,Actualizacion de Catalogo
~.*((?=.*el siguiente equipo de soporte que es responsable)|(?=.*32222 y elija la Opción 1)|(?=.*{#Data.Amelia_Epic_C_ES_SP_SupportTeam})).*,
incident_id,
{#Data.Amelia_SpanishClosingMessage},
{#Data.Amelia_SpanishClosingMessage_second},
